"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","69382","test_my_record[record_all]","testcases","Fri May 22 17:06:46 CST 2026","passed","Fri May 22 17:07:55 CST 2026","TestRecord","test_record","",""
"","18","test_search[search_no_query_no_file]","testcases","Fri May 22 17:05:03 CST 2026","passed","Fri May 22 17:05:03 CST 2026","TestSearch","test_file","",""
"","116","test_logout[logout_success]","testcases","Fri May 22 17:07:56 CST 2026","passed","Fri May 22 17:07:56 CST 2026","TestLogout","test_user","",""
"","17","test_merge[merge_other_user_images]","testcases","Fri May 22 17:06:46 CST 2026","passed","Fri May 22 17:06:46 CST 2026","TestMerge","test_file","",""
"","20","test_my_images[my_images_yang]","testcases","Fri May 22 17:05:01 CST 2026","passed","Fri May 22 17:05:01 CST 2026","TestMyImages","test_file","",""
"","16","test_search[search_missing_auth]","testcases","Fri May 22 17:05:04 CST 2026","passed","Fri May 22 17:05:04 CST 2026","TestSearch","test_file","",""
"","21","test_auth[auth_email_wrong_code]","testcases","Fri May 22 17:03:54 CST 2026","passed","Fri May 22 17:03:55 CST 2026","TestAuth","test_user","",""
"","3136","test_upload_image[upload_person_success]","testcases","Fri May 22 17:03:55 CST 2026","passed","Fri May 22 17:03:58 CST 2026","TestUploadImage","test_file","",""
"","20","test_auth[auth_empty_password]","testcases","Fri May 22 17:03:54 CST 2026","passed","Fri May 22 17:03:54 CST 2026","TestAuth","test_user","",""
"","15","test_merge[merge_empty_image2]","testcases","Fri May 22 17:06:46 CST 2026","passed","Fri May 22 17:06:46 CST 2026","TestMerge","test_file","",""
"","15","test_auth[auth_missing_account]","testcases","Fri May 22 17:03:54 CST 2026","passed","Fri May 22 17:03:54 CST 2026","TestAuth","test_user","",""
"","15","test_merge[merge_missing_instruction]","testcases","Fri May 22 17:06:46 CST 2026","passed","Fri May 22 17:06:46 CST 2026","TestMerge","test_file","",""
"","17","test_my_record[record_user_isolation]","testcases","Fri May 22 17:07:56 CST 2026","passed","Fri May 22 17:07:56 CST 2026","TestRecord","test_record","",""
"","15","test_merge[merge_missing_image2]","testcases","Fri May 22 17:06:46 CST 2026","passed","Fri May 22 17:06:46 CST 2026","TestMerge","test_file","",""
"","14","test_send_code[send_code_empty_email]","testcases","Fri May 22 17:03:54 CST 2026","passed","Fri May 22 17:03:54 CST 2026","TestSendCode","test_user","",""
"","18","test_my_record[record_merge]","testcases","Fri May 22 17:07:56 CST 2026","passed","Fri May 22 17:07:56 CST 2026","TestRecord","test_record","",""
"","15","test_upload_image[upload_empty_file]","testcases","Fri May 22 17:04:19 CST 2026","passed","Fri May 22 17:04:19 CST 2026","TestUploadImage","test_file","",""
"","559","test_search[search_long_query]","testcases","Fri May 22 17:05:04 CST 2026","passed","Fri May 22 17:05:04 CST 2026","TestSearch","test_file","",""
"","105","test_auth[auth_new_account_auto_create]","testcases","Fri May 22 17:03:55 CST 2026","passed","Fri May 22 17:03:55 CST 2026","TestAuth","test_user","",""
"","1380","test_search[search_by_image]","testcases","Fri May 22 17:05:02 CST 2026","passed","Fri May 22 17:05:03 CST 2026","TestSearch","test_file","",""
"","13","test_logout[logout_missing_header]","testcases","Fri May 22 17:07:56 CST 2026","passed","Fri May 22 17:07:56 CST 2026","TestLogout","test_user","",""
"","14","test_logout[logout_empty_header]","testcases","Fri May 22 17:07:56 CST 2026","passed","Fri May 22 17:07:56 CST 2026","TestLogout","test_user","",""
"","16","test_send_code[send_code_missing_email]","testcases","Fri May 22 17:03:54 CST 2026","passed","Fri May 22 17:03:54 CST 2026","TestSendCode","test_user","",""
"","18","test_edit[edit_other_user_image]","testcases","Fri May 22 17:05:35 CST 2026","passed","Fri May 22 17:05:35 CST 2026","TestEdit","test_file","",""
"","19","test_auth[auth_email_empty_code]","testcases","Fri May 22 17:03:55 CST 2026","passed","Fri May 22 17:03:55 CST 2026","TestAuth","test_user","",""
"","19","test_edit[edit_invalid_url]","testcases","Fri May 22 17:05:35 CST 2026","passed","Fri May 22 17:05:35 CST 2026","TestEdit","test_file","",""
"","26","test_upload_image[upload_fake_jpg]","testcases","Fri May 22 17:04:31 CST 2026","passed","Fri May 22 17:04:31 CST 2026","TestUploadImage","test_file","",""
"","14","test_send_code[send_code_invalid_email]","testcases","Fri May 22 17:03:54 CST 2026","passed","Fri May 22 17:03:54 CST 2026","TestSendCode","test_user","",""
"","1931","test_upload_image[upload_animal]","testcases","Fri May 22 17:04:19 CST 2026","passed","Fri May 22 17:04:21 CST 2026","TestUploadImage","test_file","",""
"","21056","test_upload_image[upload_cloth_success]","testcases","Fri May 22 17:03:58 CST 2026","passed","Fri May 22 17:04:19 CST 2026","TestUploadImage","test_file","",""
"","17","test_search[search_invalid_auth]","testcases","Fri May 22 17:05:04 CST 2026","passed","Fri May 22 17:05:04 CST 2026","TestSearch","test_file","",""
"","134","test_logout[logout_repeat]","testcases","Fri May 22 17:07:56 CST 2026","passed","Fri May 22 17:07:56 CST 2026","TestLogout","test_user","",""
"","19","test_my_record[record_unknown_action]","testcases","Fri May 22 17:07:56 CST 2026","passed","Fri May 22 17:07:56 CST 2026","TestRecord","test_record","",""
"","15","test_merge[merge_missing_image1]","testcases","Fri May 22 17:06:46 CST 2026","passed","Fri May 22 17:06:46 CST 2026","TestMerge","test_file","",""
"","777","test_send_code[send_code_success]","testcases","Fri May 22 17:03:53 CST 2026","passed","Fri May 22 17:03:54 CST 2026","TestSendCode","test_user","",""
"","26565","test_edit[edit_long_instruction]","testcases","Fri May 22 17:05:35 CST 2026","passed","Fri May 22 17:06:02 CST 2026","TestEdit","test_file","",""
"","15","test_edit[edit_missing_image]","testcases","Fri May 22 17:05:35 CST 2026","passed","Fri May 22 17:05:35 CST 2026","TestEdit","test_file","",""
"","15","test_edit[edit_empty_instruction]","testcases","Fri May 22 17:05:35 CST 2026","passed","Fri May 22 17:05:35 CST 2026","TestEdit","test_file","",""
"","14","test_merge[merge_empty_instruction]","testcases","Fri May 22 17:06:46 CST 2026","passed","Fri May 22 17:06:46 CST 2026","TestMerge","test_file","",""
"","509","test_search[search_by_text]","testcases","Fri May 22 17:05:01 CST 2026","passed","Fri May 22 17:05:02 CST 2026","TestSearch","test_file","",""
"","28","test_my_record[record_empty_action]","testcases","Fri May 22 17:07:56 CST 2026","passed","Fri May 22 17:07:56 CST 2026","TestRecord","test_record","",""
"","14","test_my_images[my_images_invalid_auth]","testcases","Fri May 22 17:05:01 CST 2026","passed","Fri May 22 17:05:01 CST 2026","TestMyImages","test_file","",""
"","19","test_my_images[my_images_xiao]","testcases","Fri May 22 17:05:01 CST 2026","passed","Fri May 22 17:05:01 CST 2026","TestMyImages","test_file","",""
"","14","test_upload_image[upload_missing_file]","testcases","Fri May 22 17:04:19 CST 2026","passed","Fri May 22 17:04:19 CST 2026","TestUploadImage","test_file","",""
"","15","test_my_record[record_invalid_auth]","testcases","Fri May 22 17:07:56 CST 2026","passed","Fri May 22 17:07:56 CST 2026","TestRecord","test_record","",""
"","15","test_merge[merge_empty_image1]","testcases","Fri May 22 17:06:46 CST 2026","passed","Fri May 22 17:06:46 CST 2026","TestMerge","test_file","",""
"","43979","test_merge[merge_success]","testcases","Fri May 22 17:06:02 CST 2026","passed","Fri May 22 17:06:46 CST 2026","TestMerge","test_file","",""
"","17","test_send_code[send_code_repeat]","testcases","Fri May 22 17:03:54 CST 2026","passed","Fri May 22 17:03:54 CST 2026","TestSendCode","test_user","",""
